"","Groundwater level","Water supply security","Drought","Surface water level","Technical infrastructure"
"Groundwater level","","1","","",""
"Water supply security","","","","",""
"Drought","1","","","1",""
"Surface water level","1","1","","1",""
"Technical infrastructure","1","1","","1",""
